pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,ElbowLa,ElbowLb,ElbowLc,ElbowAng,EA DEG,ElbowLa (x),Midline (1-2),Pt5 - Pt1,HPR Comp Ang,HPR DEG,Pt3 - Pt5,Pt2 - Pt3,Pt5 - Pt2,HPR Comp Ang,HED DEG
18.879497,7.22266,13.673303,19.412322,7.140036,14.038642,19.457394,7.141074,13.04768,19.724076,4.129608,11.959439,20.895586,3.253541,11.314276,20.225965,0.984563,11.722344,1.598800915,2.400660938,3.193652245,1.818231329,104.1769813,3.101973919,0.646045715,3.103163425,1.468324033,95.87122993,4.256477682,0.990962544,4.746263108,1.98917792,66.02850051
18.740066,7.272264,13.701942,19.321334,7.213767,14.012991,19.321254,7.232888,13.003845,19.616872,4.239113,11.899342,20.738517,3.36435,11.269998,20.103702,1.113506,11.664672,1.555432957,2.371720127,3.171985589,1.847706915,105.865808,3.087461458,0.659260167,3.147722672,1.556331089,90.82879706,4.23931736,1.009327133,4.726734797,1.973200096,66.94396237
18.605011,7.364055,13.665115,19.157824,7.232928,14.094456,19.225607,7.30116,12.99252,19.496236,4.339756,11.858704,20.613337,3.466018,11.22975,19.876371,1.250657,11.691543,1.551423821,2.379957147,3.116885954,1.795283057,102.8621422,3.213262915,0.699954218,3.156639987,1.380551958,100.9001994,4.220861551,1.104046446,4.732457228,1.939793584,68.85801449
18.500557,7.451039,13.606345,19.09195,7.336064,13.969178,19.096181,7.390742,12.983705,19.334006,4.448945,11.822776,20.488505,3.573768,11.182457,19.71899,1.406267,11.583381,1.583922708,2.334727816,3.076265928,1.775527409,101.7302269,3.117078729,0.693825242,3.13483178,1.485057244,94.91248761,4.22063797,0.986988712,4.681953131,1.956288969,67.91289857
18.368895,7.510836,13.648241,18.9279,7.369452,14.047616,18.982964,7.440285,12.959733,19.197914,4.57185,11.77153,20.360062,3.669153,11.158665,19.526579,1.514828,11.506576,1.594068178,2.335990621,3.086033832,1.777118825,101.8214083,3.224457454,0.687013086,3.187904434,1.410677296,99.17414466,4.179148538,1.09018656,4.694491513,1.951339486,68.19648307
18.241376,7.584897,13.650099,18.779548,7.457284,14.024102,18.831853,7.506425,12.933477,19.106507,4.644748,11.750653,20.218028,3.78242,11.09047,19.321064,1.619116,11.576023,1.554004539,2.391691939,3.038252679,1.718759267,98.47765198,3.267326341,0.655368099,3.234015112,1.41935779,98.67678902,4.155103855,1.091731528,4.702214598,1.98532776,66.24909843
18.100595,7.691057,13.584384,18.659423,7.557687,13.946793,18.6849,7.584754,12.949909,18.942797,4.708655,11.741973,20.055282,3.876315,11.048098,19.057389,1.67107,11.640232,1.553021335,2.491890572,3.041447877,1.652154517,94.66148093,3.217274476,0.666054815,3.202116166,1.444241765,97.25104229,4.167661802,0.997251389,4.685609086,2.01751285,64.40502856
17.953449,7.780232,13.536202,18.54247,7.62832,13.931039,18.561352,7.653374,12.958565,18.758123,4.790768,11.748747,19.903169,3.97688,11.020545,18.76117,1.87762,11.546668,1.582347045,2.447010354,2.920150078,1.575392734,90.26335472,3.2128612,0.709113528,3.182756387,1.417586938,98.77825136,4.156023298,0.972796682,4.66947421,2.030160501,63.68037158
17.800804,7.819345,13.546902,18.392946,7.686567,13.950555,18.391571,7.761786,12.842529,18.638214,4.844496,11.79029,19.740339,4.058226,10.970799,18.589484,1.940733,11.6519,1.582550324,2.504424566,2.907467277,1.530006421,87.66291054,3.270231447,0.716636514,3.224608919,1.397137144,99.94993822,4.149666236,1.110576208,4.695082985,1.970962415,67.07217203
17.682684,7.887292,13.524854,18.229502,7.777194,13.899903,18.272883,7.825319,12.85582,18.430879,4.97118,11.702234,19.564802,4.162047,10.949936,18.402398,2.072676,11.635556,1.583170825,2.487313615,2.899410727,1.534400812,87.91469061,3.238106143,0.66307743,3.189446797,1.394667773,100.0914228,4.129401357,1.045191526,4.666003979,2.004466248,65.15254383
17.507478,8.020554,13.441529,18.075501,7.856415,13.900304,18.114657,7.922876,12.797232,18.291882,5.052484,11.701591,19.401998,4.240907,10.907234,18.12525,2.104413,11.806714,1.588086208,2.646461097,2.954647135,1.475975413,84.56716181,3.273845188,0.730153839,3.164151889,1.308572011,105.0243466,4.138718178,1.105072351,4.693651683,1.984858467,66.2759869
17.343051,8.070099,13.506263,17.92285,7.942199,13.900655,17.939215,7.994477,12.808047,18.098933,5.089891,11.712106,19.212717,4.342109,10.89023,17.948339,2.253096,11.693963,1.573268215,2.570722423,2.840847337,1.445186376,82.80307995,3.275120694,0.701221741,3.215475021,1.378271264,101.0308736,4.125265331,1.093857957,4.692899604,2.006502301,65.03588656
17.18884,8.144267,13.453475,17.755685,8.007038,13.908518,17.794682,8.049904,12.820842,17.943687,5.194184,11.687038,18.999769,4.452315,10.816036,17.635227,2.360614,11.701853,1.557023856,2.649879186,2.8503484,1.409933681,80.78324933,3.333345155,0.726895719,3.19930435,1.276853607,106.8416772,4.118481967,1.08852036,4.711634592,2.039808968,63.12755511
17.007594,8.137567,13.565022,17.605697,8.111714,13.847136,17.657017,8.10317,12.873991,17.764094,5.263848,11.650563,18.843711,4.536427,10.724319,17.370225,2.534356,11.64405,1.59769901,2.65053851,2.757771163,1.335720431,76.5311433,3.359265497,0.66129835,3.382442782,1.507494108,93.62694998,4.16446219,0.973182507,4.747068901,2.121977488,58.41964571
16.835792,8.253122,13.504657,17.450789,8.17384,13.841481,17.46926,8.164983,12.886236,17.591046,5.351025,11.662855,18.615882,4.649391,10.708843,17.101336,2.680256,11.614026,1.566115575,2.643992908,2.715733272,1.31838917,75.53813522,3.34228403,0.701193067,3.314407388,1.425801299,98.30760316,4.135266302,0.95528606,4.715417436,2.134596382,57.69663634
16.674586,8.281762,13.553453,17.293555,8.272995,13.77815,17.300988,8.232594,12.872973,17.386527,5.433912,11.582647,18.40803,4.672064,10.715784,16.821147,2.830835,11.662694,1.541211282,2.608631909,2.664971282,1.309372727,75.02153106,3.258855634,0.658491735,3.325235849,1.571598321,89.95404911,4.16303234,0.906078166,4.727027563,2.160118463,56.23432882
16.531588,8.36582,13.494233,17.108882,8.307316,13.818958,17.113847,8.314591,12.803385,17.225629,5.578779,11.520561,18.216511,4.76069,10.663761,16.567086,2.980471,11.57334,1.544416715,2.591740048,2.680982836,1.329284573,76.16239579,3.343966224,0.662355409,3.29401537,1.396019754,100.01396,4.148277134,1.015599057,4.746980524,2.105558063,59.36040949
16.314001,8.52184,13.373708,16.910428,8.373472,13.820869,16.951099,8.402957,12.76536,17.065402,5.623335,11.534948,17.997491,4.809152,10.620489,16.313426,3.113269,11.593272,1.538804446,2.58038773,2.620935123,1.295724415,74.23954037,3.379961259,0.745438211,3.227127739,1.254905974,108.099184,4.18520083,1.055920742,4.79028279,2.080950528,60.77031737
16.166013,8.554495,13.403269,16.717214,8.439052,13.797667,16.765046,8.4445,12.803966,16.82507,5.686912,11.527897,17.788294,4.904338,10.576021,16.042524,3.214244,11.590139,1.564062166,2.632976631,2.594289758,1.243412181,71.24227018,3.395028029,0.677770112,3.259620668,1.270694411,107.1945732,4.182880097,0.993715934,4.782594067,2.127023817,58.13051236
15.99505,8.633037,13.378389,16.537684,8.491314,13.802865,16.582832,8.513149,12.79152,16.606761,5.735593,11.537844,17.583871,4.951372,10.554747,15.575948,3.722764,11.075575,1.592553371,2.410911487,2.308191641,1.1664625,66.83337821,3.412444546,0.688935071,3.239954678,1.218569864,110.1810897,4.205877893,1.011580682,4.804316799,2.109958708,59.10827108
15.773167,8.688651,13.395429,16.328197,8.54436,13.823976,16.399443,8.555514,12.805441,16.432062,5.7873,11.546766,17.346551,5.030359,10.528503,15.335336,3.820285,11.055278,1.564004267,2.405567867,2.305106588,1.172365915,67.17161897,3.449229938,0.701220958,3.270290798,1.21299891,110.5002819,4.19656579,1.018596072,4.817504055,2.133341395,57.76854182
15.636403,8.713271,13.420119,16.191066,8.579263,13.80687,16.209188,8.630637,12.795742,16.241398,5.865025,11.504267,17.109958,5.094084,10.488384,15.010296,3.959926,11.034948,1.542972705,2.448188532,2.316306253,1.161137885,66.52830023,3.44335764,0.676185906,3.281224535,1.232036227,109.409524,4.222689672,1.012432279,4.812361374,2.0981139,59.78692859
15.383576,8.762908,13.419938,15.999161,8.686697,13.775442,15.988933,8.673882,12.778601,16.040574,5.911384,11.514006,16.830838,5.133289,10.436398,14.733519,4.114136,10.993021,1.546346669,2.397342068,2.282524593,1.164744306,66.73493294,3.441061096,0.710864253,3.316033508,1.291189986,106.0202633,4.245198898,0.996923369,4.876056116,2.168088165,55.77769851
